,SA1_code,DZN_code,SA1_pop,SA1_visits,ratio,exclusion_code
0,20601110501,211051659,282.0,17904.0,63.48936170212766,NA
1,20601110502,211051657,785.0,17936.0,22.8484076433121,NA
2,20601110503,211051656,530.0,35078.0,66.18490566037735,NA
3,20601110504,211051656,439.0,23595.0,53.747152619589976,NA
4,20601110505,211051656,450.0,18065.0,40.144444444444446,NA
5,20601110506,211051657,527.0,37496.0,71.14990512333966,NA
6,20601110507, ,,,,no containing DZN
7,20601110508,211051656,479.0,15611.0,32.59081419624217,NA
8,20601110509, ,,,,no containing DZN
9,20601110510,211051654,691.0,27171.0,39.32127351664255,NA
10,20601110512,211051644,404.0,14699.0,36.383663366336634,NA
11,20601110514,211051644,554.0,22617.0,40.824909747292416,NA
12,20601110515,211051644,508.0,19541.0,38.46653543307087,NA
13,20601110516,211051644,351.0,12636.0,36.0,NA
14,20601110517,211051641,527.0,15184.0,28.81214421252372,NA
15,20601110518,211051641,567.0,13540.0,23.880070546737212,NA
16,20601110519,211051641,461.0,13844.0,30.030368763557483,NA
17,20601110520,211051641,509.0,56174.0,110.3614931237721,NA
18,20601110521, ,,,,no containing DZN
19,20601110522,211051653,793.0,58653.0,73.96343001261035,NA
20,20601110523, ,,,,no containing DZN
21,20601110524,211051652,592.0,43483.0,73.45101351351352,NA
22,20601110525,211051653,464.0,39522.0,85.17672413793103,NA
23,20601110526,211051653,644.0,42145.0,65.44254658385093,NA
24,20601110527,211051641,365.0,6305.0,17.273972602739725,NA
25,20601110528,211051641,406.0,1372.0,3.3793103448275863,NA
26,20601110529,211051641,717.0,24347.0,33.95676429567643,NA
27,20601110530,211051659,762.0,23151.0,30.381889763779526,NA
28,20601110531,211051659,756.0,22888.0,30.275132275132275,NA
29,20601110532,211051659,256.0,4805.0,18.76953125,NA
30,20601110533,211051659,542.0,19697.0,36.34132841328413,NA
31,20601110534,211051659,821.0,20572.0,25.05724725943971,NA
32,20601110535,211051654,763.0,44493.0,58.313237221494106,NA
33,20601110536, ,,,,no containing DZN
34,20601110537,211051655,548.0,42642.0,77.81386861313868,NA
35,20601110538, ,,,,no containing DZN
36,20601110539,211051647,466.0,49089.0,105.3412017167382,NA
37,20601110540, ,,,,no containing DZN
38,20601110541, ,,,,no containing DZN
39,20601110542,211051647,577.0,32801.0,56.8474870017331,NA
40,20601110543,211051647,559.0,42111.0,75.33273703041145,NA
41,20601110545,211051649,1246.0,54564.0,43.791332263242374,NA
42,20601110546, ,,,,no containing DZN
43,20601110547,211051659,379.0,23398.0,61.736147757255935,NA
44,20601110548,211051659,434.0,21152.0,48.73732718894009,NA
45,20601110549,211051656,561.0,33695.0,60.06238859180036,NA
46,20601110550, ,,,,no containing DZN
47,20601110551,211051650,487.0,24756.0,50.83367556468173,NA
48,20601110552,211051650,561.0,17074.0,30.4349376114082,NA
49,20601110553,211051657,104.0,6226.0,59.86538461538461,NA
50,20601110554,211051648,360.0,54546.0,151.51666666666668,NA
51,20601110555,211051653,381.0,17033.0,44.70603674540683,NA
52,20601110556, ,,,,no containing DZN
53,20601110557,211051649,247.0,28390.0,114.93927125506073,NA
54,20601110558,211051657,1397.0,94778.0,67.84395132426629,NA
55,20601110559,211051647,656.0,31496.0,48.01219512195122,NA
56,20601110601,211061637,802.0,25256.0,31.491271820448876,NA
57,20601110602,211061636,1828.0,80473.0,44.02242888402626,NA
58,20601110603,211061636,921.0,38560.0,41.867535287730725,NA
59,20601110604,211061636,1608.0,49772.0,30.95273631840796,NA
60,20601110605,211061636,588.0,23258.0,39.554421768707485,NA
61,20601110606,211061636,421.0,6342.0,15.064133016627078,NA
62,20601110607,211061637,1159.0,59789.0,51.58671268334771,NA
63,20601110608,211061638,814.0,25280.0,31.056511056511056,NA
64,20601110609,211061637,712.0,35981.0,50.53511235955056,NA
65,20601110610,211061637,717.0,23818.0,33.21896792189679,NA
66,20601110611,211061637,667.0,28516.0,42.75262368815592,NA
67,20601110612,211061637,725.0,21202.0,29.244137931034484,NA
68,20601110613,211061637,559.0,19776.0,35.37745974955277,NA
69,20601110614,211061658,918.0,33578.0,36.57734204793028,NA
70,20601110615, ,,,,no containing DZN
71,20601110616,211061637,780.0,26299.0,33.71666666666667,NA
72,20601110617,211061658,714.0,28557.0,39.99579831932773,NA
73,20601110618,211061637,467.0,6870.0,14.710920770877944,NA
74,20601110619,211061637,435.0,8932.0,20.533333333333335,NA
75,20601110701,211071651,628.0,37404.0,59.560509554140125,NA
76,20601110702,211071651,400.0,17719.0,44.2975,NA
77,20601110703,211071639,596.0,44662.0,74.93624161073825,NA
78,20601110704,211071639,475.0,32144.0,67.67157894736842,NA
79,20601110705,211071651,605.0,19295.0,31.892561983471076,NA
80,20601110706,211071639,725.0,16223.0,22.376551724137933,NA
81,20601110707,211071646,713.0,16480.0,23.11360448807854,NA
82,20601110708,211071646,432.0,19754.0,45.726851851851855,NA
83,20601110709,211071645,939.0,77057.0,82.06283280085196,NA
84,20601110710,211071645,391.0,32960.0,84.29667519181585,NA
85,20601110711,211071645,710.0,81707.0,115.08028169014085,NA
86,20601110712,211071643,595.0,23515.0,39.52100840336134,NA
87,20601110713,211071643,559.0,39940.0,71.4490161001789,NA
88,20601110714,211071643,537.0,25918.0,48.26443202979516,NA
89,20601110715,211071645,606.0,78336.0,129.26732673267327,NA
90,20601110716,211071642,574.0,133407.0,232.4163763066202,NA
91,20601110717,211071642,468.0,41679.0,89.0576923076923,NA
92,20601110718,211071642,467.0,59354.0,127.09635974304068,NA
93,20601110719,211071642,681.0,72584.0,106.58443465491924,NA
94,20601110720,211071640,612.0,61572.0,100.6078431372549,NA
95,20601110721,211071640,455.0,41230.0,90.61538461538461,NA
96,20601110722,211071640,217.0,34897.0,160.81566820276498,NA
97,20601110723,211071640,395.0,38401.0,97.21772151898735,NA
98,20601110724,211071640,431.0,34433.0,79.89095127610209,NA
99,20601110725,211071640,594.0,54222.0,91.28282828282828,NA
100,20601110726,211071651,528.0,24966.0,47.28409090909091,NA
